,rt,serialno,division,sporder,puma,region,st,adjinc,pwgtp,agep,cit,citwp,cow,ddrs,dear,deye,dout,dphy,drat,dratx,drem,eng,fer,gcl,gcm,gcr,hins1,hins2,hins3,hins4,hins5,hins6,hins7,intp,jwmnp,jwrip,jwtr,lanx,mar,marhd,marhm,marht,marhw,marhyp,mig,mil,mlpa,mlpb,mlpcd,mlpe,mlpfg,mlph,mlpi,mlpj,mlpk,nwab,nwav,nwla,nwlk,nwre,oip,pap,relp,retp,sch,schg,schl,semp,sex,ssip,ssp,wagp,wkhp,wkl,wkw,wrk,yoep,anc,anc1p,anc2p,decade,dis,drivesp,esp,esr,fod1p,fod2p,hicov,hisp,indp,jwap,jwdp,lanp,migpuma,migsp,msp,naicsp,nativity,nop,oc,occp,paoc,pernp,pincp,pobp,povpip,powpuma,powsp,privcov,pubcov,qtrbir,rac1p,rac2p,rac3p,racaian,racasn,racblk,racnh,racnum,racpi,racsor,racwht,rc,sciengp,sciengrlp,sfn,sfr,socp,vps,waob,fagep,fancp,fcitp,fcitwp,fcowp,fddrsp,fdearp,fdeyep,fdisp,fdoutp,fdphyp,fdratp,fdratxp,fdremp,fengp,fesrp,fferp,ffodp,fgclp,fgcmp,fgcrp,fhicovp,fhins1p,fhins2p,fhins3c,fhins3p,fhins4c,fhins4p,fhins5c,fhins5p,fhins6p,fhins7p,fhisp,findp,fintp,fjwdp,fjwmnp,fjwrip,fjwtrp,flanp,flanxp,fmarp,fmarhdp,fmarhmp,fmarhtp,fmarhwp,fmarhyp,fmigp,fmigsp,fmilpp,fmilsp,foccp,foip,fpap,fpernp,fpincp,fpobp,fpowsp,fprivcovp,fpubcovp,fracp,frelp,fretp,fschgp,fschlp,fschp,fsemp,fsexp,fssip,fssp,fwagp,fwkhp,fwklp,fwkwp,fwrkp,fyoep,pwgtp1,pwgtp2,pwgtp3,pwgtp4,pwgtp5,pwgtp6,pwgtp7,pwgtp8,pwgtp9,pwgtp10,pwgtp11,pwgtp12,pwgtp13,pwgtp14,pwgtp15,pwgtp16,pwgtp17,pwgtp18,pwgtp19,pwgtp20,pwgtp21,pwgtp22,pwgtp23,pwgtp24,pwgtp25,pwgtp26,pwgtp27,pwgtp28,pwgtp29,pwgtp30,pwgtp31,pwgtp32,pwgtp33,pwgtp34,pwgtp35,pwgtp36,pwgtp37,pwgtp38,pwgtp39,pwgtp40,pwgtp41,pwgtp42,pwgtp43,pwgtp44,pwgtp45,pwgtp46,pwgtp47,pwgtp48,pwgtp49,pwgtp50,pwgtp51,pwgtp52,pwgtp53,pwgtp54,pwgtp55,pwgtp56,pwgtp57,pwgtp58,pwgtp59,pwgtp60,pwgtp61,pwgtp62,pwgtp63,pwgtp64,pwgtp65,pwgtp66,pwgtp67,pwgtp68,pwgtp69,pwgtp70,pwgtp71,pwgtp72,pwgtp73,pwgtp74,pwgtp75,pwgtp76,pwgtp77,pwgtp78,pwgtp79,pwgtp80
0,P,2013000102767,9,03,11615,4,53,1061971,17.0,22.0,1.0,,1,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0.0,45.0,1.0,01,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,02,0.0,3,15,21,0.0,1,0.0,0.0,870.0,29.0,1,6,1,,2,032,022,,2,1,,1,6402,,1,01,8570,121,073,,10600,053,6,712     ,1,,0,4720,,870.0,870.0,053,501.0,11600,053,1,2,4,1,01,001,0,0,0,0,1,0,0,1,0,2,2,,,412010,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28.0,15.0,19.0,4.0,29.0,17.0,14.0,28.0,16.0,15.0,27.0,19.0,20.0,19.0,32.0,5.0,5.0,5.0,5.0,15.0,6.0,18.0,16.0,30.0,5.0,16.0,18.0,6.0,17.0,15.0,6.0,17.0,17.0,15.0,5.0,32.0,26.0,33.0,26.0,16.0,5.0,15.0,16.0,32.0,5.0,18.0,15.0,5.0,18.0,20.0,5.0,15.0,17.0,15.0,5.0,30.0,27.0,30.0,29.0,16.0,29.0,19.0,19.0,4.0,31.0,17.0,19.0,30.0,16.0,18.0,27.0,18.0,18.0,16.0,26.0,5.0,5.0,5.0,4.0,17.0
1,P,2013000105303,9,02,11615,4,53,1061971,17.0,23.0,1.0,,1,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0.0,,,,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,02,0.0,2,15,20,0.0,1,0.0,0.0,0.0,,2,,,,4,999,999,,2,,,3,,,1,01,8680,,,,,,6,722Z    ,1,,0,4010,,0.0,0.0,053,252.0,,,1,2,1,1,01,001,0,0,0,0,1,0,0,1,0,,,,,351012,,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,,1,,1,,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,16.0,15.0,19.0,28.0,29.0,18.0,15.0,17.0,27.0,4.0,26.0,20.0,5.0,5.0,5.0,19.0,26.0,6.0,17.0,16.0,16.0,18.0,17.0,32.0,28.0,17.0,18.0,18.0,29.0,4.0,34.0,16.0,5.0,4.0,4.0,18.0,27.0,6.0,16.0,15.0,18.0,16.0,16.0,32.0,29.0,17.0,16.0,16.0,32.0,6.0,30.0,15.0,5.0,4.0,4.0,18.0,28.0,5.0,16.0,16.0,16.0,19.0,17.0,26.0,30.0,17.0,19.0,17.0,29.0,5.0,28.0,16.0,6.0,5.0,4.0,16.0,28.0,5.0,17.0,17.0
2,P,2013000106284,9,01,11614,4,53,1061971,4.0,23.0,1.0,,3,2,2,2,2,2,,,2,,1,,,,2,2,2,2,2,2,1,0.0,,,,2,5,,,,,,3,4,,,,,,,,,,2,5,2,2,3,6300.0,0.0,00,0.0,1,,19,0.0,2,0.0,0.0,0.0,,2,,2,,1,215,999,,2,,,6,,,2,02,8390,,,,11600,053,6,6243    ,1,,0,4130,1,0.0,6300.0,053,26.0,,,2,2,1,9,68,041,1,0,0,0,2,0,1,0,0,,,,,3590XX,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,6.0,5.0,1.0,9.0,7.0,5.0,4.0,1.0,6.0,4.0,4.0,5.0,1.0,4.0,3.0,7.0,6.0,6.0,1.0,1.0,7.0,4.0,2.0,5.0,8.0,5.0,4.0,1.0,5.0,6.0,5.0,5.0,2.0,4.0,5.0,7.0,8.0,5.0,9.0,10.0,1.0,5.0,7.0,2.0,1.0,4.0,5.0,7.0,6.0,6.0,4.0,5.0,7.0,4.0,4.0,1.0,2.0,4.0,7.0,8.0,1.0,3.0,8.0,1.0,2.0,4.0,4.0,10.0,4.0,5.0,4.0,6.0,8.0,5.0,5.0,1.0,1.0,3.0
3,P,2013000127828,9,03,11611,4,53,1061971,18.0,23.0,5.0,,,2,2,2,2,2,,,2,3,,,,,2,2,2,2,2,2,2,0.0,,,,1,5,,,,,,1,4,,,,,,,,,,3,3,3,2,3,0.0,0.0,02,0.0,2,15,16,0.0,1,0.0,0.0,0.0,,3,,2,2008.0,3,996,999,7,2,,,6,,,2,01,,,,1960,,,6,,2,,0,,,0.0,0.0,247,442.0,,,2,2,2,6,57,009,0,1,0,0,1,0,0,0,0,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,32.0,21.0,32.0,19.0,19.0,29.0,19.0,7.0,29.0,38.0,5.0,17.0,19.0,7.0,21.0,6.0,19.0,19.0,15.0,25.0,7.0,19.0,5.0,23.0,19.0,5.0,18.0,28.0,5.0,4.0,25.0,18.0,19.0,22.0,18.0,28.0,15.0,20.0,19.0,8.0,30.0,19.0,31.0,19.0,17.0,34.0,19.0,6.0,27.0,31.0,7.0,18.0,19.0,7.0,17.0,6.0,17.0,18.0,14.0,21.0,5.0,21.0,6.0,16.0,19.0,6.0,20.0,33.0,5.0,4.0,31.0,20.0,21.0,24.0,23.0,32.0,13.0,17.0,14.0,5.0
4,P,2013000115983,9,06,11614,4,53,1061971,7.0,24.0,5.0,,1,2,2,2,2,2,,,2,3,,,,,2,2,2,2,2,2,2,0.0,20.0,3.0,01,1,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,05,0.0,1,,12,0.0,1,0.0,0.0,7800.0,27.0,1,5,1,2009.0,1,210,999,7,2,3,,1,,,2,02,7770,092,049,1200,,,6,56173   ,2,,0,4250,,7800.0,7800.0,303,130.0,11600,053,2,2,2,8,67,015,0,0,0,0,1,0,1,0,0,,,,,373010,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,7.0,7.0,10.0,16.0,9.0,5.0,13.0,1.0,11.0,3.0,9.0,1.0,1.0,5.0,4.0,8.0,6.0,6.0,7.0,5.0,8.0,2.0,2.0,5.0,5.0,10.0,10.0,7.0,6.0,8.0,12.0,10.0,9.0,1.0,2.0,11.0,13.0,2.0,2.0,11.0,8.0,5.0,6.0,2.0,2.0,5.0,2.0,11.0,2.0,11.0,7.0,12.0,13.0,5.0,7.0,8.0,6.0,8.0,7.0,9.0,2.0,11.0,12.0,6.0,7.0,1.0,6.0,8.0,6.0,6.0,2.0,7.0,8.0,15.0,13.0,2.0,1.0,9.0,11.0
5,P,2013000118713,9,03,11613,4,53,1061971,25.0,23.0,1.0,,1,2,2,2,2,2,,,2,,2,,,,1,2,2,2,2,2,2,0.0,,,,2,5,,,,,,3,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,04,0.0,1,,14,0.0,2,0.0,0.0,1000.0,15.0,1,3,2,,1,939,999,,2,,,6,,,1,01,8590,,,,10700,053,6,713Z    ,1,,0,4430,1,1000.0,1000.0,054,468.0,,,1,2,3,1,01,001,0,0,0,0,1,0,0,1,0,,,1,3,393090,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,6.0,46.0,7.0,7.0,24.0,28.0,45.0,38.0,7.0,25.0,21.0,23.0,8.0,25.0,24.0,25.0,43.0,27.0,9.0,25.0,41.0,8.0,55.0,50.0,26.0,23.0,9.0,8.0,36.0,23.0,24.0,26.0,48.0,26.0,20.0,26.0,9.0,23.0,7.0,24.0,47.0,8.0,42.0,40.0,27.0,24.0,8.0,8.0,43.0,24.0,23.0,22.0,52.0,30.0,23.0,23.0,7.0,23.0,44.0,25.0,7.0,37.0,9.0,8.0,33.0,24.0,48.0,35.0,7.0,26.0,25.0,29.0,6.0,24.0,26.0,25.0,41.0,24.0,43.0
6,P,2013000128172,9,01,11612,4,53,1061971,118.0,23.0,5.0,,6,2,2,2,2,2,,,2,1,2,,,,2,1,2,2,2,2,2,0.0,,,,1,5,,,,,,3,4,,,,,,,,,,2,5,2,2,3,25000.0,0.0,00,0.0,1,,19,0.0,2,0.0,0.0,0.0,,2,,2,2010.0,1,239,999,8,2,,,6,,,1,21,9290,,,1200,11700,053,6,814     ,2,,0,4600,4,0.0,25000.0,373,208.0,,,1,2,1,1,01,001,0,0,0,0,1,0,0,1,0,,,,,399011,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.0,112.0,196.0,107.0,126.0,30.0,163.0,35.0,31.0,166.0,118.0,170.0,168.0,43.0,145.0,116.0,108.0,44.0,162.0,44.0,141.0,98.0,29.0,126.0,146.0,206.0,40.0,189.0,164.0,88.0,118.0,35.0,51.0,221.0,89.0,138.0,164.0,163.0,99.0,44.0,119.0,110.0,40.0,118.0,97.0,159.0,36.0,206.0,170.0,130.0,126.0,53.0,36.0,178.0,134.0,100.0,101.0,234.0,142.0,175.0,143.0,108.0,103.0,162.0,99.0,45.0,211.0,55.0,41.0,102.0,117.0,171.0,181.0,52.0,106.0,143.0,111.0,32.0,94.0,168.0
7,P,2013000134646,9,01,11610,4,53,1061971,18.0,23.0,1.0,,4,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0.0,15.0,1.0,01,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,00,0.0,3,16,22,0.0,1,0.0,0.0,15000.0,10.0,1,3,1,,2,032,082,,2,1,,1,2401,,1,01,7860,082,040,,07900,006,6,6111    ,1,,0,1107,,15000.0,15000.0,041,124.0,11600,053,1,2,2,1,01,001,0,0,0,0,1,0,0,1,0,1,2,,,151199,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,28.0,6.0,19.0,5.0,17.0,20.0,5.0,15.0,6.0,27.0,30.0,18.0,19.0,22.0,5.0,20.0,32.0,18.0,18.0,30.0,33.0,6.0,17.0,6.0,14.0,16.0,5.0,19.0,6.0,31.0,25.0,20.0,20.0,15.0,6.0,17.0,33.0,21.0,21.0,27.0,35.0,5.0,17.0,5.0,15.0,15.0,5.0,16.0,7.0,31.0,34.0,22.0,20.0,17.0,6.0,19.0,38.0,20.0,20.0,25.0,29.0,5.0,17.0,7.0,19.0,20.0,6.0,19.0,6.0,31.0,31.0,17.0,15.0,19.0,5.0,20.0,26.0,16.0,17.0
8,P,2013000135615,9,02,11615,4,53,1061971,20.0,23.0,1.0,,,2,2,2,2,2,,,2,1,1,,,,2,2,2,1,2,2,2,0.0,,,,1,1,2,1,1,2,2012.0,1,4,,,,,,,,,,2,5,2,2,3,0.0,1200.0,02,0.0,2,15,20,0.0,2,0.0,0.0,0.0,,3,,2,,1,434,999,,2,,,6,,,1,01,,,,1675,,,1,,1,,0,,1,0.0,1200.0,053,32.0,,,2,1,1,1,01,001,0,0,0,0,1,0,0,1,0,,,1,2,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,35.0,39.0,20.0,5.0,32.0,6.0,21.0,17.0,17.0,18.0,20.0,22.0,28.0,6.0,21.0,17.0,7.0,5.0,20.0,7.0,17.0,16.0,7.0,20.0,20.0,19.0,6.0,35.0,31.0,34.0,34.0,5.0,18.0,18.0,34.0,6.0,21.0,16.0,30.0,21.0,29.0,34.0,19.0,6.0,30.0,7.0,23.0,22.0,20.0,21.0,18.0,20.0,31.0,5.0,18.0,18.0,5.0,4.0,18.0,6.0,21.0,21.0,6.0,16.0,17.0,18.0,6.0,32.0,36.0,37.0,31.0,6.0,18.0,21.0,34.0,6.0,20.0,17.0,32.0
9,P,2013000149515,9,03,11610,4,53,1061971,15.0,22.0,1.0,,3,2,2,2,2,2,,,2,,2,,,,1,2,2,2,2,2,2,0.0,15.0,1.0,01,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,02,0.0,2,15,21,0.0,2,0.0,0.0,4000.0,30.0,1,6,1,,2,051,022,,2,1,,1,3401,,1,01,8590,121,079,,,,6,713Z    ,1,,0,4600,4,4000.0,4000.0,053,501.0,11600,053,1,2,2,1,01,001,0,0,0,0,1,0,0,1,0,2,2,,,399011,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,16.0,23.0,15.0,25.0,4.0,4.0,16.0,14.0,16.0,21.0,17.0,5.0,15.0,5.0,4.0,27.0,18.0,23.0,14.0,14.0,13.0,23.0,17.0,26.0,6.0,5.0,17.0,18.0,15.0,24.0,18.0,5.0,16.0,5.0,5.0,26.0,16.0,24.0,13.0,15.0,17.0,5.0,15.0,4.0,24.0,24.0,12.0,15.0,16.0,4.0,16.0,30.0,16.0,28.0,30.0,5.0,16.0,3.0,17.0,14.0,19.0,5.0,14.0,5.0,29.0,29.0,17.0,17.0,15.0,6.0,15.0,23.0,13.0,24.0,25.0,4.0,18.0,5.0,16.0
