,rt,serialno,division,sporder,puma,region,st,adjinc,pwgtp,agep,cit,citwp,cow,ddrs,dear,deye,dout,dphy,drat,dratx,drem,eng,fer,gcl,gcm,gcr,hins1,hins2,hins3,hins4,hins5,hins6,hins7,intp,jwmnp,jwrip,jwtr,lanx,mar,marhd,marhm,marht,marhw,marhyp,mig,mil,mlpa,mlpb,mlpcd,mlpe,mlpfg,mlph,mlpi,mlpj,mlpk,nwab,nwav,nwla,nwlk,nwre,oip,pap,relp,retp,sch,schg,schl,semp,sex,ssip,ssp,wagp,wkhp,wkl,wkw,wrk,yoep,anc,anc1p,anc2p,decade,dis,drivesp,esp,esr,fod1p,fod2p,hicov,hisp,indp,jwap,jwdp,lanp,migpuma,migsp,msp,naicsp,nativity,nop,oc,occp,paoc,pernp,pincp,pobp,povpip,powpuma,powsp,privcov,pubcov,qtrbir,rac1p,rac2p,rac3p,racaian,racasn,racblk,racnh,racnum,racpi,racsor,racwht,rc,sciengp,sciengrlp,sfn,sfr,socp,vps,waob,fagep,fancp,fcitp,fcitwp,fcowp,fddrsp,fdearp,fdeyep,fdisp,fdoutp,fdphyp,fdratp,fdratxp,fdremp,fengp,fesrp,fferp,ffodp,fgclp,fgcmp,fgcrp,fhicovp,fhins1p,fhins2p,fhins3c,fhins3p,fhins4c,fhins4p,fhins5c,fhins5p,fhins6p,fhins7p,fhisp,findp,fintp,fjwdp,fjwmnp,fjwrip,fjwtrp,flanp,flanxp,fmarp,fmarhdp,fmarhmp,fmarhtp,fmarhwp,fmarhyp,fmigp,fmigsp,fmilpp,fmilsp,foccp,foip,fpap,fpernp,fpincp,fpobp,fpowsp,fprivcovp,fpubcovp,fracp,frelp,fretp,fschgp,fschlp,fschp,fsemp,fsexp,fssip,fssp,fwagp,fwkhp,fwklp,fwkwp,fwrkp,fyoep,pwgtp1,pwgtp2,pwgtp3,pwgtp4,pwgtp5,pwgtp6,pwgtp7,pwgtp8,pwgtp9,pwgtp10,pwgtp11,pwgtp12,pwgtp13,pwgtp14,pwgtp15,pwgtp16,pwgtp17,pwgtp18,pwgtp19,pwgtp20,pwgtp21,pwgtp22,pwgtp23,pwgtp24,pwgtp25,pwgtp26,pwgtp27,pwgtp28,pwgtp29,pwgtp30,pwgtp31,pwgtp32,pwgtp33,pwgtp34,pwgtp35,pwgtp36,pwgtp37,pwgtp38,pwgtp39,pwgtp40,pwgtp41,pwgtp42,pwgtp43,pwgtp44,pwgtp45,pwgtp46,pwgtp47,pwgtp48,pwgtp49,pwgtp50,pwgtp51,pwgtp52,pwgtp53,pwgtp54,pwgtp55,pwgtp56,pwgtp57,pwgtp58,pwgtp59,pwgtp60,pwgtp61,pwgtp62,pwgtp63,pwgtp64,pwgtp65,pwgtp66,pwgtp67,pwgtp68,pwgtp69,pwgtp70,pwgtp71,pwgtp72,pwgtp73,pwgtp74,pwgtp75,pwgtp76,pwgtp77,pwgtp78,pwgtp79,pwgtp80
0,P,2013000111689,9,05,11610,4,53,1061971,40.0,19.0,1.0,,6,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0.0,,,,2,5,,,,,,3,4,,,,,,,,,,2,3,2,1,3,0.0,0.0,10,0.0,1,,16,200.0,1,0.0,0.0,0.0,3.0,1,6,2,,1,902,999,,2,,,6,,,1,01,7380,,,,11600,053,6,5415    ,1,,0,1050,,200.0,200.0,053,282.0,,,1,2,4,2,02,002,0,0,1,0,1,0,0,0,0,,,,,151150,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,10.0,42.0,12.0,53.0,55.0,42.0,32.0,31.0,21.0,71.0,52.0,39.0,46.0,43.0,9.0,58.0,15.0,35.0,38.0,63.0,47.0,53.0,52.0,13.0,31.0,24.0,43.0,44.0,55.0,26.0,10.0,51.0,16.0,13.0,57.0,49.0,65.0,51.0,46.0,49.0,16.0,29.0,13.0,72.0,82.0,29.0,65.0,55.0,15.0,25.0,72.0,44.0,64.0,58.0,21.0,34.0,20.0,70.0,42.0,55.0,35.0,44.0,73.0,10.0,13.0,30.0,31.0,26.0,50.0,61.0,12.0,51.0,12.0,13.0,41.0,37.0,52.0,32.0,36.0
1,P,2013000155051,9,03,11614,4,53,1061971,2.0,19.0,1.0,,1,2,2,2,2,2,,,2,,2,,,,2,2,2,2,2,2,1,0.0,,,,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,1,,14,0.0,2,0.0,0.0,0.0,,2,,2,,1,917,999,,2,,,6,,,2,01,8470,,,,,,6,6244    ,1,,0,4600,1,0.0,0.0,053,70.0,,,2,2,3,3,21,003,1,0,0,0,1,0,0,0,0,,,1,3,399011,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,7.0,4.0,0.0,1.0,2.0,2.0,0.0,7.0,4.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0,4.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,8.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,7.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0
2,P,2013000166503,9,03,11610,4,53,1061971,41.0,21.0,1.0,,,2,2,2,2,2,,,2,,2,,,,2,2,2,2,2,2,2,0.0,,,,2,5,,,,,,3,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,12,0.0,1,,10,0.0,2,0.0,0.0,0.0,,3,,2,,1,939,999,,2,,,6,,,2,01,,,,,11600,053,6,,1,,0,,4,0.0,0.0,041,0.0,,,2,2,4,1,01,001,0,0,0,0,1,0,0,1,0,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39.0,12.0,38.0,65.0,40.0,36.0,36.0,71.0,39.0,70.0,9.0,46.0,14.0,39.0,49.0,42.0,12.0,12.0,64.0,38.0,65.0,34.0,10.0,44.0,13.0,14.0,85.0,44.0,80.0,41.0,40.0,77.0,50.0,69.0,12.0,14.0,42.0,42.0,36.0,60.0,37.0,13.0,44.0,75.0,38.0,35.0,38.0,53.0,39.0,72.0,13.0,42.0,14.0,42.0,43.0,45.0,14.0,13.0,60.0,44.0,62.0,47.0,12.0,37.0,13.0,13.0,78.0,45.0,74.0,39.0,54.0,72.0,37.0,58.0,11.0,11.0,37.0,48.0,45.0,71.0
3,P,2013000203925,9,03,11615,4,53,1061971,17.0,20.0,1.0,,,2,2,2,1,2,,,1,,,,,,1,2,2,2,2,2,2,0.0,,,,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,02,0.0,1,,16,0.0,1,0.0,0.0,0.0,,3,,2,,1,924,999,,1,,,6,,,1,01,,,,,,,6,,1,,0,,,0.0,0.0,053,396.0,,,1,2,3,1,01,001,0,0,0,0,1,0,0,1,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,16.0,18.0,16.0,16.0,5.0,4.0,29.0,4.0,15.0,14.0,32.0,31.0,30.0,18.0,18.0,4.0,29.0,17.0,4.0,17.0,29.0,28.0,5.0,5.0,17.0,20.0,18.0,16.0,25.0,6.0,15.0,16.0,15.0,25.0,5.0,17.0,19.0,25.0,15.0,5.0,16.0,16.0,22.0,16.0,5.0,5.0,25.0,5.0,20.0,19.0,24.0,26.0,24.0,16.0,18.0,5.0,29.0,15.0,4.0,17.0,36.0,32.0,4.0,4.0,15.0,18.0,17.0,14.0,33.0,5.0,17.0,18.0,17.0,25.0,4.0,15.0,18.0,28.0,15.0
4,P,2013000215337,9,03,11613,4,53,1061971,17.0,20.0,1.0,,1,2,2,2,2,2,,,2,,2,,,,1,2,2,2,2,2,2,0.0,,,,2,5,,,,,,1,4,,,,,,,,,,2,1,2,2,3,0.0,0.0,02,0.0,1,,19,0.0,2,0.0,0.0,10000.0,40.0,1,5,2,,2,032,089,,2,,,6,,,1,01,8590,,,,,,6,713Z    ,1,,0,2340,4,10000.0,10000.0,053,501.0,,,1,2,2,1,01,001,0,0,0,0,1,0,0,1,0,,,,,253000,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,26.0,5.0,30.0,16.0,17.0,6.0,5.0,5.0,17.0,17.0,24.0,4.0,17.0,29.0,17.0,16.0,17.0,18.0,6.0,17.0,16.0,17.0,21.0,33.0,5.0,15.0,22.0,17.0,23.0,4.0,17.0,18.0,33.0,17.0,23.0,29.0,6.0,5.0,17.0,5.0,5.0,33.0,5.0,16.0,18.0,26.0,30.0,31.0,17.0,17.0,5.0,25.0,21.0,6.0,17.0,15.0,17.0,15.0,30.0,16.0,16.0,15.0,19.0,5.0,37.0,16.0,19.0,13.0,5.0,30.0,17.0,20.0,5.0,16.0,5.0,5.0,27.0,26.0,16.0
5,P,2013000330366,9,02,11612,4,53,1061971,21.0,21.0,1.0,,1,2,2,2,2,2,,,2,,,,,,2,2,2,1,2,2,2,0.0,,,,2,5,,,,,,3,4,,,,,,,,,,3,1,1,1,2,0.0,0.0,02,0.0,1,,16,0.0,1,0.0,0.0,3000.0,32.0,1,5,2,,4,999,999,,2,,,3,,,1,01,3680,,,,11600,053,6,3366    ,1,,0,9620,,3000.0,3000.0,053,142.0,,,2,1,2,5,37,003,1,0,0,0,1,0,0,0,0,,,,,537062,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,1,0,1,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,33.0,4.0,58.0,22.0,8.0,6.0,7.0,17.0,35.0,5.0,18.0,24.0,25.0,21.0,45.0,27.0,22.0,16.0,32.0,8.0,37.0,24.0,25.0,5.0,16.0,20.0,17.0,45.0,18.0,15.0,11.0,31.0,6.0,9.0,21.0,27.0,40.0,29.0,17.0,23.0,45.0,7.0,45.0,18.0,6.0,7.0,9.0,25.0,43.0,6.0,25.0,18.0,19.0,20.0,45.0,46.0,19.0,19.0,41.0,7.0,19.0,20.0,16.0,8.0,21.0,15.0,14.0,39.0,20.0,19.0,8.0,39.0,6.0,7.0,20.0,22.0,24.0,33.0,26.0
6,P,2013000288017,9,01,11613,4,53,1061971,5.0,20.0,1.0,,1,2,2,2,1,2,,,1,,,,,,1,2,2,2,2,2,2,0.0,,,,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,30000.0,0.0,16,0.0,1,,13,0.0,1,0.0,0.0,0.0,,2,,,,2,032,917,,1,,,6,,,1,01,8590,,,,11600,053,6,713Z    ,1,,0,4220,,0.0,30000.0,006,,,,1,2,3,9,68,017,1,0,0,0,2,0,0,1,0,,,,,37201X,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,6.0,5.0,0.0,5.0,5.0,10.0,10.0,1.0,1.0,10.0,4.0,1.0,9.0,10.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,9.0,5.0,5.0,1.0,1.0,10.0,9.0,1.0,6.0,10.0,1.0,1.0,5.0,5.0,9.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,10.0,10.0,0.0,0.0,9.0,5.0,0.0,10.0,10.0,5.0,5.0,1.0,5.0,5.0,5.0,6.0,6.0,10.0,5.0,5.0,1.0,1.0,10.0,9.0,1.0,5.0,9.0,1.0,1.0,5.0,5.0,10.0,5.0,5.0
7,P,2013000291567,9,01,11613,4,53,1061971,26.0,20.0,1.0,,,2,2,2,2,2,,,2,,2,,,,2,2,2,2,2,2,2,0.0,,,,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0.0,0.0,00,0.0,1,,16,0.0,2,0.0,0.0,0.0,,3,,2,,1,920,999,,2,,,6,,,2,01,,,,,,,6,,1,,0,,4,0.0,0.0,006,0.0,,,2,2,2,4,35,003,1,0,0,0,1,0,0,0,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,36.0,39.0,26.0,33.0,24.0,32.0,32.0,28.0,12.0,29.0,28.0,7.0,41.0,29.0,7.0,33.0,8.0,27.0,7.0,37.0,29.0,46.0,38.0,71.0,23.0,26.0,31.0,27.0,14.0,34.0,43.0,7.0,34.0,23.0,7.0,25.0,6.0,33.0,45.0,31.0,32.0,13.0,28.0,8.0,22.0,27.0,8.0,24.0,49.0,7.0,10.0,41.0,24.0,31.0,47.0,36.0,56.0,29.0,49.0,18.0,23.0,9.0,23.0,8.0,28.0,19.0,7.0,25.0,35.0,7.0,8.0,52.0,22.0,27.0,48.0,27.0,48.0,22.0,7.0
8,P,2013000431365,9,03,11610,4,53,1061971,18.0,19.0,1.0,,9,2,2,2,2,2,,,2,,2,,,,2,2,2,2,2,2,2,0.0,,,,2,5,,,,,,1,4,,,,,,,,,,2,1,2,1,3,0.0,0.0,02,0.0,1,,16,0.0,2,0.0,0.0,0.0,,3,,2,,2,902,720,,2,,,3,,,2,01,9920,,,,,,6,9920    ,1,,0,9920,4,0.0,0.0,008,333.0,,,2,2,2,9,68,061,0,1,1,0,3,0,0,1,0,,,,,999920,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,30.0,5.0,31.0,28.0,21.0,14.0,4.0,5.0,40.0,17.0,15.0,16.0,26.0,19.0,21.0,20.0,4.0,16.0,18.0,18.0,14.0,20.0,21.0,24.0,5.0,5.0,16.0,15.0,26.0,6.0,35.0,6.0,19.0,24.0,28.0,29.0,12.0,6.0,4.0,17.0,23.0,7.0,20.0,27.0,29.0,17.0,6.0,8.0,26.0,19.0,16.0,19.0,29.0,18.0,16.0,22.0,6.0,16.0,22.0,36.0,17.0,17.0,17.0,14.0,4.0,5.0,16.0,18.0,17.0,8.0,37.0,5.0,17.0,25.0,25.0,38.0,21.0,4.0,6.0
9,P,2013000406245,9,03,11614,4,53,1061971,5.0,20.0,1.0,,3,2,2,2,2,2,,,2,,,,,,2,2,2,1,2,2,1,0.0,,,,2,5,,,,,,3,4,,,,,,,,,,2,1,2,1,3,2800.0,0.0,02,0.0,1,,14,0.0,1,0.0,0.0,0.0,,2,,2,,1,917,999,,2,,,3,,,1,01,7670,,,,10400,053,6,5615    ,1,,0,9350,,0.0,2800.0,053,27.0,,,2,1,2,3,27,003,1,0,0,0,1,0,0,0,0,,,1,3,536021,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,1.0,6.0,11.0,2.0,2.0,5.0,4.0,7.0,9.0,3.0,9.0,4.0,6.0,10.0,1.0,5.0,1.0,2.0,6.0,5.0,7.0,6.0,1.0,6.0,8.0,1.0,8.0,5.0,1.0,5.0,1.0,5.0,4.0,6.0,15.0,4.0,6.0,1.0,4.0,6.0,9.0,5.0,1.0,9.0,8.0,2.0,6.0,5.0,2.0,3.0,1.0,4.0,4.0,6.0,11.0,6.0,6.0,9.0,7.0,5.0,1.0,6.0,9.0,1.0,2.0,7.0,7.0,4.0,5.0,7.0,9.0,5.0,5.0,5.0,2.0,4.0,1.0,8.0
