,rt,serialno,division,sporder,puma,region,st,adjinc,pwgtp,agep,cit,citwp,cow,ddrs,dear,deye,dout,dphy,drat,dratx,drem,eng,fer,gcl,gcm,gcr,hins1,hins2,hins3,hins4,hins5,hins6,hins7,intp,jwmnp,jwrip,jwtr,lanx,mar,marhd,marhm,marht,marhw,marhyp,mig,mil,mlpa,mlpb,mlpcd,mlpe,mlpfg,mlph,mlpi,mlpj,mlpk,nwab,nwav,nwla,nwlk,nwre,oip,pap,relp,retp,sch,schg,schl,semp,sex,ssip,ssp,wagp,wkhp,wkl,wkw,wrk,yoep,anc,anc1p,anc2p,decade,dis,drivesp,esp,esr,fod1p,fod2p,hicov,hisp,indp,jwap,jwdp,lanp,migpuma,migsp,msp,naicsp,nativity,nop,oc,occp,paoc,pernp,pincp,pobp,povpip,powpuma,powsp,privcov,pubcov,qtrbir,rac1p,rac2p,rac3p,racaian,racasn,racblk,racnh,racnum,racpi,racsor,racwht,rc,sciengp,sciengrlp,sfn,sfr,socp,vps,waob,fagep,fancp,fcitp,fcitwp,fcowp,fddrsp,fdearp,fdeyep,fdisp,fdoutp,fdphyp,fdratp,fdratxp,fdremp,fengp,fesrp,fferp,ffodp,fgclp,fgcmp,fgcrp,fhicovp,fhins1p,fhins2p,fhins3c,fhins3p,fhins4c,fhins4p,fhins5c,fhins5p,fhins6p,fhins7p,fhisp,findp,fintp,fjwdp,fjwmnp,fjwrip,fjwtrp,flanp,flanxp,fmarp,fmarhdp,fmarhmp,fmarhtp,fmarhwp,fmarhyp,fmigp,fmigsp,fmilpp,fmilsp,foccp,foip,fpap,fpernp,fpincp,fpobp,fpowsp,fprivcovp,fpubcovp,fracp,frelp,fretp,fschgp,fschlp,fschp,fsemp,fsexp,fssip,fssp,fwagp,fwkhp,fwklp,fwkwp,fwrkp,fyoep,pwgtp1,pwgtp2,pwgtp3,pwgtp4,pwgtp5,pwgtp6,pwgtp7,pwgtp8,pwgtp9,pwgtp10,pwgtp11,pwgtp12,pwgtp13,pwgtp14,pwgtp15,pwgtp16,pwgtp17,pwgtp18,pwgtp19,pwgtp20,pwgtp21,pwgtp22,pwgtp23,pwgtp24,pwgtp25,pwgtp26,pwgtp27,pwgtp28,pwgtp29,pwgtp30,pwgtp31,pwgtp32,pwgtp33,pwgtp34,pwgtp35,pwgtp36,pwgtp37,pwgtp38,pwgtp39,pwgtp40,pwgtp41,pwgtp42,pwgtp43,pwgtp44,pwgtp45,pwgtp46,pwgtp47,pwgtp48,pwgtp49,pwgtp50,pwgtp51,pwgtp52,pwgtp53,pwgtp54,pwgtp55,pwgtp56,pwgtp57,pwgtp58,pwgtp59,pwgtp60,pwgtp61,pwgtp62,pwgtp63,pwgtp64,pwgtp65,pwgtp66,pwgtp67,pwgtp68,pwgtp69,pwgtp70,pwgtp71,pwgtp72,pwgtp73,pwgtp74,pwgtp75,pwgtp76,pwgtp77,pwgtp78,pwgtp79,pwgtp80
0,P,2013000166236,9,02,11611,4,53,1061971,10.0,20.0,1.0,,1,2,2,2,2,2,,,2,,2,,,,2,2,2,1,2,2,2,0.0,60.0,,02,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0.0,3100.0,13,0.0,1,,13,0.0,2,0.0,0.0,1800.0,22.0,1,5,1,,2,050,425,,2,,,1,,,1,01,8680,124,073,,11600,053,6,722Z    ,1,,0,4020,4,1800.0,4900.0,053,40.0,11600,053,2,1,3,1,01,001,0,0,0,0,1,0,0,1,0,,,,,352010,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,17.0,9.0,22.0,21.0,11.0,10.0,11.0,10.0,16.0,11.0,15.0,10.0,14.0,15.0,21.0,17.0,10.0,12.0,11.0,3.0,3.0,11.0,3.0,2.0,11.0,11.0,11.0,10.0,3.0,9.0,3.0,11.0,3.0,3.0,2.0,3.0,11.0,8.0,11.0,18.0,16.0,12.0,16.0,15.0,8.0,11.0,13.0,10.0,19.0,12.0,14.0,12.0,18.0,18.0,17.0,16.0,12.0,12.0,11.0,2.0,2.0,9.0,4.0,3.0,12.0,11.0,10.0,11.0,3.0,9.0,2.0,11.0,2.0,2.0,3.0,4.0,11.0,12.0,12.0
1,P,2013001491116,9,02,11615,4,53,1061971,46.0,20.0,1.0,,1,2,2,2,2,2,,,2,,2,,,,1,2,2,2,2,2,2,0.0,25.0,1.0,01,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,13,0.0,1,,13,0.0,2,0.0,0.0,41600.0,40.0,1,1,1,,2,022,026,,2,1,,1,,,1,01,4970,147,091,,11600,053,6,4451    ,1,,0,5620,4,41600.0,41600.0,053,344.0,11600,053,1,2,1,1,01,001,0,0,0,0,1,0,0,1,0,,,,,435081,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,46.0,53.0,46.0,84.0,51.0,51.0,13.0,75.0,13.0,13.0,46.0,53.0,64.0,77.0,14.0,44.0,49.0,46.0,82.0,16.0,44.0,42.0,47.0,79.0,49.0,44.0,15.0,79.0,12.0,12.0,53.0,41.0,78.0,80.0,12.0,44.0,48.0,45.0,76.0,14.0,42.0,47.0,42.0,80.0,43.0,48.0,16.0,92.0,14.0,13.0,47.0,50.0,77.0,78.0,12.0,46.0,44.0,42.0,76.0,16.0,46.0,47.0,46.0,71.0,44.0,42.0,16.0,73.0,14.0,16.0,46.0,57.0,72.0,90.0,13.0,49.0,46.0,42.0,80.0
2,P,2013001096015,9,03,11615,4,53,1061971,18.0,20.0,1.0,,1,2,2,2,2,2,,,2,,2,,,,1,2,2,2,2,2,2,0.0,30.0,1.0,01,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,12,0.0,1,,15,0.0,2,0.0,0.0,14000.0,30.0,1,1,,,4,999,999,,2,1,,1,,,1,01,8680,109,064,,,,6,722Z    ,1,,0,5240,4,14000.0,14000.0,002,116.0,11600,053,1,2,2,1,01,001,0,0,0,0,1,0,0,1,0,,,,,434051,,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,,1,,1,,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,6.0,17.0,6.0,19.0,5.0,19.0,18.0,18.0,17.0,5.0,5.0,18.0,21.0,5.0,19.0,20.0,5.0,7.0,5.0,19.0,20.0,27.0,16.0,31.0,20.0,31.0,30.0,36.0,32.0,17.0,17.0,32.0,28.0,18.0,31.0,30.0,17.0,18.0,16.0,29.0,30.0,18.0,31.0,15.0,32.0,17.0,20.0,21.0,21.0,32.0,30.0,18.0,20.0,31.0,18.0,16.0,29.0,27.0,29.0,18.0,20.0,5.0,18.0,5.0,15.0,5.0,5.0,5.0,5.0,19.0,20.0,5.0,6.0,17.0,6.0,5.0,20.0,18.0,16.0,5.0
3,P,2013001242942,9,02,11611,4,53,1061971,75.0,21.0,5.0,,1,2,2,2,2,2,,,2,3,2,,,,2,2,2,2,2,2,2,0.0,140.0,,02,1,1,2,2,1,2,2012.0,3,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,01,0.0,1,,15,0.0,2,0.0,0.0,9000.0,25.0,1,4,1,2009.0,1,568,999,7,2,,,1,,,2,01,8170,166,091,4840,01400,027,1,6216    ,2,,0,4610,4,9000.0,9000.0,416,154.0,01400,027,2,2,1,2,02,002,0,0,1,0,1,0,0,0,0,,,,,399021,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,65.0,19.0,92.0,116.0,70.0,120.0,22.0,78.0,89.0,130.0,93.0,96.0,81.0,76.0,89.0,29.0,83.0,112.0,27.0,21.0,72.0,17.0,88.0,142.0,93.0,132.0,27.0,100.0,115.0,136.0,79.0,65.0,71.0,74.0,91.0,24.0,68.0,74.0,19.0,29.0,85.0,24.0,68.0,128.0,74.0,75.0,31.0,91.0,108.0,93.0,73.0,78.0,106.0,62.0,71.0,20.0,91.0,163.0,29.0,17.0,76.0,31.0,76.0,102.0,62.0,110.0,25.0,57.0,202.0,119.0,122.0,99.0,63.0,102.0,54.0,29.0,67.0,134.0,28.0
4,P,2013001286556,9,04,11611,4,53,1061971,26.0,20.0,1.0,,3,2,2,2,2,2,,,2,,,,,,2,2,2,2,2,2,2,0.0,60.0,,02,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,04,0.0,1,,15,0.0,1,0.0,0.0,2000.0,12.0,1,3,1,,4,999,999,,2,,,1,,,2,01,0770,160,094,,,,6,23      ,1,,0,6420,,2000.0,2000.0,027,295.0,11600,053,2,2,2,1,01,001,0,0,0,0,1,0,0,1,0,,,,,472140,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,41.0,32.0,8.0,32.0,9.0,26.0,20.0,9.0,27.0,7.0,43.0,54.0,20.0,24.0,31.0,8.0,30.0,45.0,28.0,24.0,7.0,8.0,33.0,23.0,42.0,24.0,23.0,39.0,28.0,58.0,11.0,8.0,28.0,32.0,26.0,40.0,30.0,9.0,23.0,24.0,36.0,48.0,9.0,23.0,7.0,24.0,22.0,11.0,34.0,9.0,35.0,50.0,24.0,23.0,27.0,9.0,25.0,44.0,25.0,20.0,8.0,7.0,39.0,26.0,42.0,24.0,25.0,46.0,24.0,47.0,8.0,8.0,29.0,29.0,26.0,50.0,27.0,7.0,27.0,21.0
5,P,2013001377167,9,09,11611,4,53,1061971,60.0,21.0,1.0,,1,2,2,2,2,2,,,2,1,2,,,,2,2,2,2,2,2,2,0.0,90.0,,04,1,1,2,1,1,2,2013.0,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,09,0.0,1,,15,0.0,2,0.0,0.0,400.0,40.0,1,6,1,,1,522,999,,2,,,1,,,2,01,4795,112,055,4590,,,2,443142  ,1,,0,4720,4,400.0,400.0,017,54.0,11600,053,2,2,1,2,02,002,0,0,1,0,1,0,0,0,0,,,,,412010,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,76.0,51.0,24.0,53.0,55.0,18.0,98.0,58.0,47.0,18.0,79.0,72.0,107.0,65.0,57.0,27.0,102.0,78.0,64.0,18.0,61.0,69.0,73.0,20.0,20.0,62.0,73.0,24.0,82.0,68.0,95.0,87.0,64.0,104.0,26.0,59.0,54.0,42.0,96.0,64.0,21.0,65.0,88.0,61.0,59.0,70.0,22.0,62.0,54.0,76.0,67.0,60.0,22.0,55.0,54.0,100.0,21.0,21.0,67.0,83.0,60.0,25.0,64.0,76.0,86.0,53.0,68.0,82.0,25.0,62.0,26.0,23.0,54.0,24.0,83.0,62.0,54.0,69.0,28.0
6,P,2013000599234,9,05,11611,4,53,1061971,9.0,20.0,1.0,,1,2,2,2,2,2,,,2,,,,,,2,2,2,1,2,2,2,0.0,25.0,1.0,01,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,05,0.0,1,,15,0.0,1,6600.0,0.0,4000.0,12.0,1,2,1,,4,999,999,,2,1,,1,,,1,01,8290,069,025,,,,6,623M    ,1,,0,4140,,4000.0,10600.0,053,202.0,11600,053,2,1,2,1,01,001,0,0,0,0,1,0,0,1,0,,,,,359021,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,1,,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,3.0,7.0,3.0,3.0,10.0,3.0,13.0,11.0,11.0,9.0,15.0,11.0,3.0,9.0,19.0,16.0,11.0,9.0,15.0,9.0,15.0,10.0,11.0,13.0,8.0,15.0,3.0,9.0,10.0,12.0,3.0,9.0,17.0,12.0,3.0,2.0,10.0,11.0,3.0,9.0,14.0,11.0,19.0,14.0,9.0,15.0,3.0,13.0,11.0,10.0,3.0,12.0,15.0,8.0,3.0,3.0,9.0,9.0,2.0,8.0,3.0,9.0,3.0,3.0,9.0,2.0,16.0,10.0,8.0,10.0,18.0,10.0,3.0,10.0,17.0,17.0,8.0,8.0,18.0,9.0
7,P,2013001035691,9,04,11612,4,53,1061971,17.0,20.0,1.0,,1,2,2,2,2,2,,,2,,2,,,,2,2,2,2,2,2,2,0.0,30.0,1.0,01,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,02,0.0,1,,15,0.0,2,0.0,0.0,10000.0,30.0,1,1,1,,2,935,032,,2,1,,1,,,2,01,8680,046,010,,11600,053,6,722Z    ,1,,0,4030,4,10000.0,10000.0,053,218.0,11500,053,2,2,3,1,01,001,0,0,0,0,1,0,0,1,0,,,,,352021,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,29.0,5.0,17.0,14.0,26.0,5.0,17.0,19.0,5.0,14.0,18.0,5.0,21.0,19.0,20.0,5.0,27.0,28.0,5.0,19.0,16.0,23.0,4.0,27.0,20.0,20.0,31.0,32.0,13.0,4.0,5.0,14.0,25.0,5.0,25.0,18.0,15.0,16.0,16.0,26.0,27.0,6.0,21.0,18.0,28.0,4.0,20.0,19.0,4.0,18.0,17.0,4.0,16.0,16.0,19.0,5.0,31.0,27.0,6.0,14.0,17.0,14.0,5.0,24.0,14.0,14.0,35.0,29.0,18.0,5.0,4.0,16.0,29.0,5.0,25.0,16.0,21.0,16.0,17.0
8,P,2014000969806,9,04,11611,4,53,1045195,18.0,20.0,1.0,,1,2,1,2,2,2,,,2,,2,,,,2,1,2,2,2,2,2,0.0,10.0,1.0,01,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,02,0.0,1,,14,0.0,2,0.0,0.0,15400.0,32.0,1,3,1,,2,924,210,,1,1,,1,,,1,02,5490,099,058,,11600,053,6,4533    ,1,,0,4760,4,15400.0,15400.0,036,430.0,11600,053,1,2,3,9,68,026,0,0,0,0,2,1,0,1,0,,,,,412031,,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.0,18.0,19.0,23.0,5.0,19.0,15.0,5.0,18.0,19.0,5.0,19.0,19.0,17.0,5.0,33.0,32.0,29.0,29.0,6.0,21.0,5.0,41.0,18.0,17.0,31.0,29.0,23.0,4.0,4.0,18.0,28.0,7.0,23.0,18.0,19.0,15.0,18.0,19.0,16.0,4.0,14.0,15.0,34.0,7.0,18.0,18.0,5.0,18.0,21.0,5.0,16.0,16.0,16.0,7.0,27.0,30.0,48.0,27.0,6.0,14.0,6.0,31.0,18.0,18.0,31.0,36.0,15.0,6.0,6.0,19.0,34.0,4.0,32.0,23.0,20.0,16.0,19.0,20.0,23.0
9,P,2014000058989,9,01,11614,4,53,1045195,29.0,21.0,1.0,,1,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0.0,10.0,2.0,01,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,00,0.0,1,,15,0.0,1,0.0,0.0,3800.0,40.0,1,4,1,,1,902,999,,2,2,,1,,,1,01,4580,066,025,,11600,053,6,4249Z   ,1,,0,9620,,3800.0,3800.0,053,30.0,11600,053,1,2,2,2,02,002,0,0,1,0,1,0,0,0,0,,,,,537062,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,8.0,60.0,15.0,28.0,23.0,33.0,34.0,7.0,27.0,39.0,65.0,36.0,30.0,52.0,8.0,52.0,8.0,9.0,26.0,20.0,15.0,44.0,29.0,33.0,21.0,53.0,23.0,11.0,39.0,50.0,54.0,26.0,26.0,69.0,10.0,33.0,8.0,6.0,31.0,30.0,9.0,62.0,28.0,36.0,37.0,67.0,24.0,8.0,41.0,74.0,56.0,22.0,27.0,37.0,7.0,29.0,6.0,12.0,35.0,25.0,8.0,50.0,37.0,21.0,28.0,64.0,31.0,14.0,24.0,43.0,56.0,26.0,37.0,52.0,6.0,24.0,6.0,7.0,36.0
