,rt,serialno,division,sporder,puma,region,st,adjinc,pwgtp,agep,cit,citwp,cow,ddrs,dear,deye,dout,dphy,drat,dratx,drem,eng,fer,gcl,gcm,gcr,hins1,hins2,hins3,hins4,hins5,hins6,hins7,intp,jwmnp,jwrip,jwtr,lanx,mar,marhd,marhm,marht,marhw,marhyp,mig,mil,mlpa,mlpb,mlpcd,mlpe,mlpfg,mlph,mlpi,mlpj,mlpk,nwab,nwav,nwla,nwlk,nwre,oip,pap,relp,retp,sch,schg,schl,semp,sex,ssip,ssp,wagp,wkhp,wkl,wkw,wrk,yoep,anc,anc1p,anc2p,decade,dis,drivesp,esp,esr,fod1p,fod2p,hicov,hisp,indp,jwap,jwdp,lanp,migpuma,migsp,msp,naicsp,nativity,nop,oc,occp,paoc,pernp,pincp,pobp,povpip,powpuma,powsp,privcov,pubcov,qtrbir,rac1p,rac2p,rac3p,racaian,racasn,racblk,racnh,racnum,racpi,racsor,racwht,rc,sciengp,sciengrlp,sfn,sfr,socp,vps,waob,fagep,fancp,fcitp,fcitwp,fcowp,fddrsp,fdearp,fdeyep,fdisp,fdoutp,fdphyp,fdratp,fdratxp,fdremp,fengp,fesrp,fferp,ffodp,fgclp,fgcmp,fgcrp,fhicovp,fhins1p,fhins2p,fhins3c,fhins3p,fhins4c,fhins4p,fhins5c,fhins5p,fhins6p,fhins7p,fhisp,findp,fintp,fjwdp,fjwmnp,fjwrip,fjwtrp,flanp,flanxp,fmarp,fmarhdp,fmarhmp,fmarhtp,fmarhwp,fmarhyp,fmigp,fmigsp,fmilpp,fmilsp,foccp,foip,fpap,fpernp,fpincp,fpobp,fpowsp,fprivcovp,fpubcovp,fracp,frelp,fretp,fschgp,fschlp,fschp,fsemp,fsexp,fssip,fssp,fwagp,fwkhp,fwklp,fwkwp,fwrkp,fyoep,pwgtp1,pwgtp2,pwgtp3,pwgtp4,pwgtp5,pwgtp6,pwgtp7,pwgtp8,pwgtp9,pwgtp10,pwgtp11,pwgtp12,pwgtp13,pwgtp14,pwgtp15,pwgtp16,pwgtp17,pwgtp18,pwgtp19,pwgtp20,pwgtp21,pwgtp22,pwgtp23,pwgtp24,pwgtp25,pwgtp26,pwgtp27,pwgtp28,pwgtp29,pwgtp30,pwgtp31,pwgtp32,pwgtp33,pwgtp34,pwgtp35,pwgtp36,pwgtp37,pwgtp38,pwgtp39,pwgtp40,pwgtp41,pwgtp42,pwgtp43,pwgtp44,pwgtp45,pwgtp46,pwgtp47,pwgtp48,pwgtp49,pwgtp50,pwgtp51,pwgtp52,pwgtp53,pwgtp54,pwgtp55,pwgtp56,pwgtp57,pwgtp58,pwgtp59,pwgtp60,pwgtp61,pwgtp62,pwgtp63,pwgtp64,pwgtp65,pwgtp66,pwgtp67,pwgtp68,pwgtp69,pwgtp70,pwgtp71,pwgtp72,pwgtp73,pwgtp74,pwgtp75,pwgtp76,pwgtp77,pwgtp78,pwgtp79,pwgtp80
0,P,2013000115983,9,06,11614,4,53,1061971,7.0,24.0,5.0,,1,2,2,2,2,2,,,2,3,,,,,2,2,2,2,2,2,2,0.0,20.0,3.0,01,1,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,05,0.0,1,,12,0.0,1,0.0,0.0,7800.0,27.0,1,5,1,2009.0,1,210,999,7,2,3,,1,,,2,02,7770,092,049,1200,,,6,56173   ,2,,0,4250,,7800.0,7800.0,303,130.0,11600,053,2,2,2,8,67,015,0,0,0,0,1,0,1,0,0,,,,,373010,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,7.0,7.0,10.0,16.0,9.0,5.0,13.0,1.0,11.0,3.0,9.0,1.0,1.0,5.0,4.0,8.0,6.0,6.0,7.0,5.0,8.0,2.0,2.0,5.0,5.0,10.0,10.0,7.0,6.0,8.0,12.0,10.0,9.0,1.0,2.0,11.0,13.0,2.0,2.0,11.0,8.0,5.0,6.0,2.0,2.0,5.0,2.0,11.0,2.0,11.0,7.0,12.0,13.0,5.0,7.0,8.0,6.0,8.0,7.0,9.0,2.0,11.0,12.0,6.0,7.0,1.0,6.0,8.0,6.0,6.0,2.0,7.0,8.0,15.0,13.0,2.0,1.0,9.0,11.0
1,P,2013000192357,9,08,11613,4,53,1061971,47.0,22.0,1.0,,1,2,2,2,2,2,,,2,,2,,,,2,2,2,2,2,2,2,0.0,25.0,1.0,01,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,10,0.0,1,,14,0.0,2,0.0,0.0,30000.0,30.0,1,1,1,,1,814,999,,2,1,,1,,,2,01,8680,150,092,,,,6,722Z    ,1,,0,4010,4,30000.0,30000.0,053,341.0,11600,053,2,2,2,7,61,013,0,0,0,0,1,1,0,0,0,,,,,351012,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,55.0,60.0,52.0,55.0,34.0,24.0,35.0,35.0,61.0,18.0,63.0,63.0,39.0,54.0,23.0,21.0,65.0,36.0,39.0,107.0,52.0,16.0,47.0,44.0,34.0,70.0,41.0,63.0,16.0,66.0,24.0,18.0,50.0,63.0,69.0,61.0,15.0,45.0,66.0,54.0,46.0,19.0,74.0,46.0,69.0,57.0,54.0,63.0,12.0,55.0,24.0,18.0,55.0,52.0,82.0,72.0,17.0,60.0,50.0,19.0,50.0,55.0,60.0,54.0,43.0,18.0,40.0,32.0,78.0,17.0,50.0,73.0,42.0,24.0,26.0,18.0,61.0,58.0,45.0,28.0
2,P,2013000578381,9,02,11613,4,53,1061971,47.0,22.0,5.0,,1,2,2,2,2,2,,,2,1,2,,,,2,2,2,2,2,2,2,0.0,20.0,1.0,01,1,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,05,0.0,1,,14,0.0,2,0.0,0.0,6000.0,30.0,1,1,1,2006.0,1,226,999,7,2,1,,1,,,2,11,8680,092,049,1200,,,6,722Z    ,2,,0,4030,1,6000.0,6000.0,312,147.0,11600,053,2,2,3,1,01,001,0,0,0,0,1,0,0,1,0,,,1,3,352021,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,56.0,71.0,52.0,41.0,10.0,77.0,14.0,17.0,41.0,59.0,72.0,65.0,13.0,40.0,42.0,47.0,17.0,53.0,12.0,56.0,59.0,21.0,63.0,52.0,62.0,22.0,70.0,64.0,33.0,44.0,20.0,15.0,83.0,45.0,61.0,46.0,71.0,57.0,66.0,44.0,43.0,97.0,74.0,42.0,16.0,85.0,15.0,11.0,43.0,57.0,77.0,94.0,13.0,34.0,57.0,57.0,21.0,46.0,11.0,49.0,42.0,13.0,50.0,45.0,85.0,15.0,108.0,53.0,36.0,67.0,13.0,11.0,110.0,46.0,44.0,49.0,67.0,43.0,76.0
3,P,2013001097246,9,06,11614,4,53,1061971,5.0,22.0,1.0,,3,2,2,2,2,2,,,2,,,,,,2,2,2,2,2,2,1,0.0,5.0,1.0,01,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,05,0.0,1,,12,0.0,1,0.0,0.0,16300.0,40.0,1,3,1,,1,917,999,,2,1,,1,,,2,01,8590,212,125,,11600,053,6,713Z    ,1,,0,4140,,16300.0,16300.0,053,332.0,11600,053,2,2,3,3,21,003,1,0,0,0,1,0,0,0,0,,,,,359021,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0,8.0,3.0,6.0,7.0,8.0,8.0,3.0,5.0,2.0,2.0,5.0,11.0,1.0,6.0,18.0,1.0,2.0,4.0,6.0,8.0,9.0,4.0,7.0,7.0,4.0,8.0,5.0,8.0,1.0,1.0,10.0,5.0,1.0,5.0,11.0,3.0,1.0,4.0,5.0,5.0,2.0,6.0,5.0,5.0,6.0,2.0,5.0,7.0,10.0,13.0,1.0,1.0,7.0,4.0,2.0,12.0,11.0,3.0,6.0,7.0,1.0,4.0,7.0,5.0,5.0,2.0,4.0,7.0,6.0,5.0,2.0,1.0,7.0,5.0,2.0,10.0,7.0,5.0,4.0
4,P,2013000773765,9,04,11612,4,53,1061971,52.0,23.0,5.0,,1,1,1,2,1,2,,,2,,,,,,2,2,2,2,2,2,2,0.0,25.0,1.0,01,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,05,0.0,1,,11,0.0,1,0.0,0.0,2000.0,30.0,1,6,1,2006.0,1,212,999,7,1,1,,1,,,2,02,7770,069,025,,,,6,56173   ,2,,0,4250,,2000.0,2000.0,303,9.0,11600,053,2,2,3,8,67,015,0,0,0,0,1,0,1,0,0,,,,,373010,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.0,82.0,46.0,19.0,53.0,45.0,48.0,79.0,14.0,121.0,23.0,90.0,66.0,58.0,39.0,15.0,48.0,82.0,63.0,14.0,47.0,50.0,97.0,62.0,17.0,13.0,10.0,62.0,51.0,53.0,50.0,45.0,103.0,108.0,93.0,47.0,16.0,48.0,72.0,79.0,15.0,83.0,53.0,11.0,51.0,46.0,43.0,120.0,13.0,81.0,22.0,98.0,40.0,37.0,54.0,17.0,59.0,90.0,51.0,21.0,39.0,57.0,82.0,60.0,18.0,14.0,14.0,63.0,58.0,43.0,59.0,68.0,86.0,70.0,56.0,51.0,20.0,60.0,92.0,40.0
5,P,2013001085945,9,01,11611,4,53,1061971,49.0,22.0,1.0,,1,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0.0,5.0,1.0,01,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,00,0.0,1,,01,0.0,1,0.0,0.0,15000.0,40.0,1,1,1,,4,999,999,,2,1,,1,,,1,01,4970,080,040,,,,6,4451    ,1,,0,9620,,15000.0,15000.0,053,125.0,11600,053,1,2,4,1,01,001,0,0,0,0,1,0,0,1,0,,,,,537062,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,46.0,57.0,18.0,58.0,49.0,59.0,74.0,21.0,55.0,41.0,73.0,52.0,69.0,72.0,15.0,16.0,50.0,55.0,51.0,91.0,46.0,13.0,67.0,39.0,44.0,49.0,15.0,78.0,55.0,59.0,17.0,54.0,15.0,19.0,83.0,70.0,57.0,60.0,42.0,15.0,46.0,83.0,18.0,44.0,43.0,46.0,64.0,22.0,60.0,57.0,68.0,53.0,84.0,68.0,15.0,16.0,41.0,52.0,47.0,72.0,48.0,14.0,70.0,45.0,49.0,49.0,17.0,84.0,54.0,56.0,16.0,55.0,18.0,16.0,85.0,82.0,46.0,46.0,50.0,13.0
6,P,2013001085945,9,02,11611,4,53,1061971,61.0,23.0,1.0,,1,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0.0,30.0,1.0,01,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,11,0.0,1,,15,0.0,1,0.0,0.0,35000.0,40.0,1,1,1,,4,999,999,,2,1,,1,,,1,01,4970,076,031,,,,6,4451    ,1,,0,9620,,35000.0,35000.0,053,291.0,11600,053,1,2,4,1,01,001,0,0,0,0,1,0,0,1,0,,,,,537062,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,57.0,69.0,22.0,74.0,59.0,71.0,83.0,25.0,66.0,55.0,87.0,63.0,84.0,93.0,20.0,20.0,61.0,67.0,59.0,112.0,59.0,17.0,75.0,48.0,53.0,57.0,19.0,93.0,65.0,72.0,21.0,65.0,19.0,24.0,104.0,91.0,68.0,74.0,53.0,19.0,55.0,104.0,23.0,54.0,52.0,59.0,84.0,26.0,73.0,69.0,83.0,66.0,97.0,83.0,19.0,22.0,52.0,62.0,58.0,85.0,59.0,17.0,89.0,55.0,58.0,62.0,21.0,108.0,65.0,66.0,21.0,69.0,22.0,20.0,105.0,101.0,58.0,58.0,58.0,17.0
7,P,2013000731215,9,01,11614,4,53,1061971,26.0,24.0,1.0,,1,2,2,2,2,2,,,2,,2,,,,1,2,2,2,2,2,2,0.0,30.0,1.0,01,2,4,2,2,1,2,2012.0,1,4,,,,,,,,,,2,3,2,1,3,0.0,0.0,00,0.0,1,,15,0.0,2,0.0,0.0,16000.0,35.0,1,1,1,,3,996,999,,2,1,,1,,,1,23,6390,106,061,,,,5,493     ,1,,0,5240,1,16000.0,16000.0,006,85.0,11600,053,1,2,3,9,68,017,1,0,0,0,2,0,0,1,0,,,,,434051,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,8.0,7.0,9.0,10.0,52.0,21.0,27.0,8.0,31.0,41.0,28.0,37.0,28.0,27.0,38.0,23.0,22.0,21.0,52.0,18.0,27.0,23.0,25.0,28.0,19.0,47.0,8.0,23.0,24.0,8.0,10.0,26.0,43.0,47.0,29.0,8.0,44.0,8.0,28.0,57.0,8.0,6.0,7.0,8.0,49.0,20.0,25.0,8.0,39.0,36.0,30.0,40.0,28.0,24.0,43.0,25.0,26.0,26.0,41.0,22.0,26.0,27.0,21.0,25.0,27.0,45.0,8.0,22.0,28.0,7.0,8.0,21.0,70.0,45.0,26.0,7.0,35.0,6.0,20.0
8,P,2013000795240,9,01,11611,4,53,1061971,31.0,24.0,1.0,,1,2,2,2,2,2,,,2,1,,,,,2,2,2,2,2,2,2,0.0,30.0,1.0,01,1,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,00,0.0,1,,14,0.0,1,0.0,0.0,35000.0,45.0,1,4,1,,1,211,999,,2,1,,1,,,2,02,0170,106,061,1200,,,6,111     ,1,,0,9130,,35000.0,35000.0,006,148.0,11600,053,2,2,1,1,01,001,0,0,0,0,1,0,0,1,0,,,,,533030,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,46.0,47.0,10.0,53.0,25.0,30.0,8.0,9.0,7.0,34.0,37.0,49.0,9.0,38.0,46.0,36.0,40.0,29.0,29.0,7.0,27.0,23.0,38.0,30.0,45.0,11.0,35.0,31.0,32.0,43.0,10.0,34.0,22.0,45.0,28.0,51.0,57.0,13.0,10.0,31.0,8.0,9.0,47.0,11.0,34.0,32.0,36.0,58.0,38.0,23.0,24.0,13.0,48.0,32.0,7.0,27.0,38.0,36.0,38.0,57.0,23.0,33.0,31.0,28.0,10.0,61.0,32.0,23.0,27.0,8.0,49.0,35.0,27.0,12.0,33.0,11.0,11.0,68.0,54.0,47.0
9,P,2013000832841,9,04,11613,4,53,1061971,37.0,22.0,1.0,,1,2,2,2,2,2,,,2,,2,,,,1,2,2,2,2,2,2,0.0,30.0,1.0,01,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0.0,0.0,13,0.0,1,,09,0.0,2,0.0,0.0,24200.0,40.0,1,1,1,,4,999,999,,2,1,,1,,,1,01,8680,112,067,,,,6,722Z    ,1,,0,4040,4,24200.0,24200.0,006,201.0,11600,053,1,2,3,2,02,002,0,0,1,0,1,0,0,0,0,,,,,353011,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,,1,,1,,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,45.0,13.0,54.0,54.0,36.0,45.0,37.0,27.0,53.0,36.0,40.0,49.0,65.0,12.0,12.0,12.0,14.0,75.0,44.0,39.0,40.0,10.0,58.0,31.0,45.0,62.0,32.0,35.0,68.0,39.0,36.0,38.0,59.0,14.0,12.0,14.0,10.0,57.0,39.0,45.0,40.0,13.0,59.0,40.0,32.0,64.0,27.0,48.0,54.0,32.0,26.0,41.0,66.0,14.0,11.0,11.0,12.0,70.0,44.0,49.0,45.0,10.0,65.0,44.0,33.0,76.0,41.0,35.0,52.0,38.0,32.0,30.0,79.0,12.0,12.0,12.0,16.0,55.0,44.0,39.0
